sido,year,month,pop_end,pop_change
대전광역시,2024,2024년06월,1440558.0,-561.0
대전광역시,2024,2024년07월,1439889.0,-669.0
대전광역시,2024,2024년08월,1439926.0,37.0
대전광역시,2024,2024년09월,1440456.0,530.0
대전광역시,2024,2024년10월,1440094.0,-362.0
대전광역시,2024,2024년11월,1439687.0,-407.0
대전광역시,2024,2024년12월,1439157.0,-530.0
울산광역시,2023,2023년01월,1110074.0,-589.0
울산광역시,2023,2023년02월,1108665.0,-1409.0
울산광역시,2023,2023년03월,1107746.0,-919.0
울산광역시,2023,2023년04월,1107134.0,-612.0
울산광역시,2023,2023년05월,1106446.0,-688.0
울산광역시,2023,2023년06월,1106015.0,-431.0
울산광역시,2023,2023년07월,1105326.0,-689.0
울산광역시,2023,2023년08월,1104448.0,-878.0
울산광역시,2023,2023년09월,1104167.0,-281.0
울산광역시,2023,2023년10월,1104031.0,-136.0
울산광역시,2023,2023년11월,1103752.0,-279.0
울산광역시,2023,2023년12월,1103661.0,-91.0
울산광역시,2024,2024년01월,1103402.0,-259.0
울산광역시,2024,2024년02월,1102161.0,-1241.0
울산광역시,2024,2024년03월,1101336.0,-825.0
울산광역시,2024,2024년04월,1101059.0,-277.0
울산광역시,2024,2024년05월,1100609.0,-450.0
울산광역시,2024,2024년06월,1100304.0,-305.0
울산광역시,2024,2024년07월,1099866.0,-438.0
울산광역시,2024,2024년08월,1099231.0,-635.0
울산광역시,2024,2024년09월,1098728.0,-503.0
울산광역시,2024,2024년10월,1098540.0,-188.0
울산광역시,2024,2024년11월,1098312.0,-228.0
울산광역시,2024,2024년12월,1098049.0,-263.0
세종특별자치시,2023,2023년01월,384496.0,905.0
세종특별자치시,2023,2023년02월,385285.0,789.0
세종특별자치시,2023,2023년03월,385609.0,324.0
세종특별자치시,2023,2023년04월,385825.0,216.0
세종특별자치시,2023,2023년05월,386050.0,225.0
세종특별자치시,2023,2023년06월,386126.0,76.0
세종특별자치시,2023,2023년07월,386192.0,66.0
세종특별자치시,2023,2023년08월,385953.0,-239.0
세종특별자치시,2023,2023년09월,385932.0,-21.0
세종특별자치시,2023,2023년10월,386079.0,147.0
세종특별자치시,2023,2023년11월,386256.0,177.0
세종특별자치시,2023,2023년12월,386525.0,269.0
세종특별자치시,2024,2024년01월,386944.0,419.0
세종특별자치시,2024,2024년02월,387193.0,249.0
세종특별자치시,2024,2024년03월,387411.0,218.0
세종특별자치시,2024,2024년04월,387726.0,315.0
세종특별자치시,2024,2024년05월,387774.0,48.0
세종특별자치시,2024,2024년06월,387940.0,166.0
세종특별자치시,2024,2024년07월,388788.0,848.0
세종특별자치시,2024,2024년08월,389370.0,582.0
세종특별자치시,2024,2024년09월,389443.0,73.0
세종특별자치시,2024,2024년10월,389978.0,535.0
세종특별자치시,2024,2024년11월,390603.0,625.0
세종특별자치시,2024,2024년12월,390685.0,82.0
경기도,2023,2023년01월,13596091.0,6659.0
경기도,2023,2023년02월,13600800.0,4709.0
경기도,2023,2023년03월,13603546.0,2746.0
경기도,2023,2023년04월,13607919.0,4373.0
경기도,2023,2023년05월,13612597.0,4678.0
경기도,2023,2023년06월,13618969.0,6372.0
경기도,2023,2023년07월,13623055.0,4086.0
경기도,2023,2023년08월,13624964.0,1909.0
경기도,2023,2023년09월,13626339.0,1375.0
경기도,2023,2023년10월,13627840.0,1501.0
경기도,2023,2023년11월,13628135.0,295.0
경기도,2023,2023년12월,13630821.0,2686.0
경기도,2024,2024년01월,13635250.0,4429.0
경기도,2024,2024년02월,13639616.0,4366.0
